cluster,empresas,agroindustria,productor,exportadores,importadores,dentro_2h,dentro_promesa,horas_al_hub,hub,rank,territorio,dep,sam_usd,clientes,extension_km,visitable_en_dia,empresas_por_mm,distritos,empresas_export,fob_export_mm
7,91.0,9.0,57.0,3.0,3.0,0.0,0.0,6.974805135813187,Chiclayo,15,"Tumbes · Tumbes, Zarumilla",Tumbes,4923342.632618361,726.7792061389711,62.14890711153203,True,18.48337741052238,5.0,18.0,7.9
12,117.0,9.0,57.0,1.0,0.0,0.0,117.0,3.645772398887248,Huamachuco,16,"La Libertad · Viru, Trujillo",La Libertad,4383564.288066521,1142.9378162479,59.479892981927776,True,26.69060889981968,2.0,97.0,3470.6
22,105.0,15.0,48.0,0.0,0.0,0.0,97.0,5.848100778318882,Chiclayo,17,"Amazonas · Utcubamba, Bagua",Amazonas,4150075.787416978,1186.3959112495745,90.34872998700187,True,25.30074277639936,2.0,22.0,89.8
31,63.0,15.0,23.0,0.0,1.0,0.0,47.0,5.917386096603188,Bellavista,19,"Huánuco · Leoncio Prado, Huamalies",Huánuco,2964169.625858106,995.9851402514294,78.78313031181222,True,21.253844398922325,2.0,4.0,3.2
13,200.0,22.0,103.0,1.0,0.0,200.0,200.0,1.3603158680328946,Pisco,20,Lima · Cañete,Lima,2752335.699694612,563.5724719422242,49.87615559104436,True,72.66555457686037,5.0,127.0,327.0
14,298.0,69.0,96.0,5.0,2.0,0.0,296.0,4.437874042686684,Juliaca,21,Arequipa · Arequipa,Arequipa,2655052.361782371,512.1622122946492,52.99515733120241,True,112.23884104490833,8.0,126.0,145.0
3,5.0,1.0,4.0,0.0,0.0,0.0,0.0,6.95015499247742,Tarma,22,Huánuco · Puerto Inca,Huánuco,2399804.086283852,806.3537216637656,44.24307799478088,True,2.083503411206624,,,
15,399.0,44.0,178.0,7.0,4.0,0.0,0.0,6.501308314101161,Juliaca,23,"Arequipa · Caylloma, Arequipa",Arequipa,2335048.562609574,450.43316465469655,27.720934949023416,True,170.874390532628,1.0,80.0,290.2
24,43.0,6.0,14.0,2.0,1.0,0.0,0.0,4.119516323120637,Pisco,25,Lima · Huaral,Lima,2218168.7455073185,454.195628545329,49.910885967862576,True,19.3853601476859,1.0,124.0,333.4
33,117.0,17.0,69.0,1.0,0.0,0.0,117.0,5.218481705216816,Chiclayo,26,"Cajamarca · Chota, Cutervo",Cajamarca,2113505.8999466514,1153.6050609666572,80.00249127724642,True,55.358255684525545,1.0,4.0,0.2
37,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5.247061555925811,Juliaca,27,Arequipa · Caylloma,Arequipa,2015807.8426577367,388.85131574708873,60.21105120510615,True,0.496079030371046,1.0,1.0,0.0
25,4.0,0.0,3.0,0.0,0.0,0.0,0.0,9.45300367633626,Juliaca,28,"Arequipa · Castilla, Condesuyos",Arequipa,1988782.950373307,383.6381874417296,42.49069208651367,True,2.011280315556393,,,
16,54.0,9.0,29.0,0.0,0.0,0.0,54.0,3.1900796766524,Tarma,29,Pasco · Oxapampa,Pasco,1630524.0396770576,631.6836099173739,41.97968231249377,True,33.118186966869416,2.0,13.0,0.8
32,16.0,2.0,6.0,0.0,0.0,0.0,0.0,6.005942203296156,Juliaca,30,Arequipa · Arequipa,Arequipa,1628985.0159011187,314.23281195805555,18.461658583707905,True,9.822067019535568,1.0,10.0,6.4
11,25.0,3.0,10.0,2.0,1.0,0.0,0.0,6.563329217479544,Juliaca,31,Arequipa · Islay,Arequipa,1608768.7195113506,310.3330684982177,31.228305406658045,True,15.53983471756806,1.0,1.0,0.2
40,3.0,0.0,3.0,0.0,0.0,0.0,3.0,4.946655995940077,Huamachuco,33,"Cajamarca · Cajamarca, Celendin",Cajamarca,1334459.3946180968,728.3817430198781,55.36452995802531,True,2.248101375057993,1.0,2.0,0.0
34,59.0,16.0,18.0,2.0,0.0,0.0,0.0,7.209991944605171,Juliaca,34,Arequipa · Camana,Arequipa,1241336.5389332746,239.455039431106,37.63707641616232,True,47.529415391816976,2.0,5.0,1.0
35,8.0,2.0,3.0,0.0,0.0,0.0,3.0,4.185097542792419,Pisco,35,Lima · Huarochiri,Lima,1222335.967669142,250.2873842459057,54.07517572663501,True,6.544845452969126,2.0,3.0,0.0
29,5.0,1.0,1.0,1.0,0.0,0.0,0.0,11.592394484934884,Juliaca,36,Arequipa · La Union,Arequipa,1182634.570892829,228.13137205248543,44.11291567409421,True,4.22784867199109,,,
39,21.0,5.0,14.0,0.0,0.0,21.0,21.0,1.5788462095104268,Juliaca,37,"Puno · Azangaro, Melgar",Puno,1050803.7843201796,625.8852824006448,41.2662198626818,True,19.984701533584605,,,
26,14.0,0.0,11.0,0.0,0.0,0.0,14.0,3.980163084259466,Tarma,38,Junín · Huancayo,Junín,954456.091752204,326.44062320181195,29.076352414726387,True,14.668039861633238,,,
43,16.0,0.0,8.0,1.0,0.0,0.0,16.0,2.3914228485005604,Pisco,40,"Ica · Palpa, Nasca",Ica,900791.448254577,122.4509105447086,41.98541547808984,True,17.762157967865345,1.0,1.0,0.1
46,23.0,4.0,18.0,0.0,0.0,0.0,23.0,5.203400105733315,Tarma,42,"Huancavelica · Acobamba, Churcampa",Huancavelica,841838.4562637748,216.51504628729023,43.24296096693544,True,27.321156249000545,,,
42,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.793436763112277,Tarma,44,"Pasco · Pasco, Junin",Pasco,809621.3271463161,296.09141346621936,35.453956487904314,True,1.2351453284027416,,,
44,32.0,6.0,20.0,0.0,0.0,0.0,0.0,6.174521968508929,Pisco,45,"Ayacucho · Cangallo, Huamanga",Ayacucho,776933.9839585128,250.1256996015697,41.43726010280692,True,41.18754058994639,,,
56,4.0,0.0,3.0,0.0,0.0,0.0,0.0,7.33816107204895,Pisco,46,"Lima · Huaura, Huaral",Lima,774524.0741013897,158.59273527880887,36.44822173966242,True,5.1644618079055045,,,
53,8.0,0.0,8.0,0.0,0.0,0.0,0.0,7.077259791642527,Huamachuco,49,Cajamarca · Celendin,Cajamarca,711097.3352513531,388.1349395838313,29.68310948102941,True,11.250217942628378,1.0,2.0,0.0
47,5.0,1.0,2.0,0.0,0.0,0.0,0.0,4.851863364027497,Chiclayo,54,La Libertad · Gran Chimu,La Libertad,545132.1314968013,142.1336809490091,21.4310329691183,True,9.172088216981829,,,
51,12.0,0.0,6.0,0.0,0.0,0.0,12.0,3.7304901256479086,Chiclayo,55,"Cajamarca · San Miguel, San Pablo",Cajamarca,531287.7286668159,289.9903012501595,28.792628709962425,True,22.586631221677443,1.0,1.0,0.4
38,8.0,3.0,3.0,0.0,0.0,8.0,8.0,1.852707619059084,Pisco,56,Lima · Cañete,Lima,527779.2832002399,108.06889410548916,20.130344547924903,True,15.157851500898706,2.0,3.0,0.3
50,16.0,1.0,13.0,0.0,0.0,0.0,16.0,3.992832878688456,Chiclayo,57,"Cajamarca · San Miguel, Santa Cruz",Cajamarca,525817.1923852694,287.0043439643279,32.07554280474367,True,30.42882627595163,,,
